       Probe             0             1             2             3             4             5             6             7             8
   1.1999e-09        101000        101000        101010        102412        303303        626994        649072        644211        640749
  2.63965e-09        101000        101000        101010        102421        303808        627094        649070        644203        640742
  4.36705e-09        101000        101000        101010        102433        304418        627214        649067        644193        640733
  6.43992e-09        101000        101000        101010        102448        305153        627356        649064        644181        640723
    8.928e-09        101000        101000        101011        102465        306042        627526        649060        644167        640711
  1.19131e-08        101000        101000        101011        102487        307117        627728        649056        644151        640697
  1.54939e-08        101000        101000        101011        102513        308419        627967        649050        644131        640679
  1.97909e-08        101000        101000        101011        102544        310000        628251        649043        644106        640658
  2.49464e-08        101000        101000        101012        102583        311922        628587        649035        644078        640633
  3.11343e-08        101000        101000        101012        102631        314266        628983        649024        644043        640603
  3.85616e-08        101000        101000        101012        102690        317131        629449        649012        644002        640567
   4.7469e-08        101000        101000        101013        102764        320639        629993        648996        643952        640524
  5.78954e-08        101000        101000        101014        102854        324843        630611        648978        643895        640473
  6.98617e-08        101000        101000        101015        102962        329791        631297        648956        643829        640415
   8.3369e-08        101000        101000        101016        103090        335527        632042        648931        643755        640349
  9.84045e-08        101000        101000        101017        103240        342090        632835        648903        643673        640276
  1.13674e-07        101000        101000        101019        103402        348921        633607        648873        643590        640202
  1.28944e-07        101000        101000        101021        103572        355878        634346        648843        643507        640129
  1.44214e-07        101000        101000        101023        103751        362946        635053        648812        643425        640055
  1.59484e-07        101000        101000        101024        103940        370112        635729        648780        643344        639981
  1.74753e-07        101000        101000        101027        104139        377364        636376        648746        643262        639907
  1.90023e-07        101000        101000        101029        104347        384682        636994        648710        643181        639833
  2.05293e-07        101000        101000        101031        104567        391993        637585        648673        643100        639760
  2.20563e-07        101000        101000        101034        104798        399283        638149        648634        643020        639686
  2.35832e-07        101000        101000        101037        105040        406542        638688        648592        642940        639613
  2.51102e-07        101000        101000        101040        105295        413762        639202        648549        642860        639539
  2.66372e-07        101000        101000        101043        105563        420922        639692        648503        642780        639466
  2.81642e-07        101000        101000        101047        105844        428014        640160        648456        642701        639392
  2.96912e-07        101000        101000        101051        106140        435031        640606        648406        642622        639319
  3.12181e-07        101000        101000        101055        106452        441967        641030        648355        642543        639246
  3.27451e-07        101000        101000        101060        106781        448814        641435        648301        642465        639172
  3.42721e-07        101000        101000        101065        107128        455570        641820        648244        642386        639099
  3.57991e-07        101000        101000        101070        107494        462233        642186        648184        642308        639026
   3.7326e-07        101000        101000        101076        107880        468798        642535        648121        642230        638953
   3.8853e-07        101000        101000        101082        108288        475261        642866        648055        642152        638880
    4.038e-07        101000        101000        101088        108718        481615        643181        647986        642075        638807
   4.1907e-07        101000        101000        101095        109174        487857        643480        647915        641997        638734
  4.34339e-07        101000        101000        101103        109655        493985        643764        647841        641920        638661
  4.49609e-07        101000        101000        101111        110165        499995        644034        647765        641843        638588
  4.64879e-07        101000        101000        101120        110704        505885        644290        647687        641767        638515
  4.80149e-07        101000        101000        101129        111275        511655        644533        647606        641690        638442
  4.95419e-07        101000        101000        101139        111879        517301        644763        647524        641613        638369
  5.10688e-07        101000        101000        101149        112519        522821        644982        647439        641537        638296
  5.25958e-07        101000        101000        101161        113196        528216        645189        647353        641461        638223
  5.41228e-07        101000        101000        101173        113913        533483        645385        647265        641385        638151
  5.56498e-07        101000        101000        101186        114672        538623        645571        647175        641309        638078
  5.71767e-07        101000        101000        101200        115473        543634        645747        647084        641233        638005
  5.87037e-07        101000        101000        101215        116322        548511        645914        646991        641157        637933
  6.02307e-07        101000        101000        101231        117221        553253        646070        646897        641082        637860
  6.17577e-07        101000        101000        101249        118175        557863        646217        646802        641006        637787
  6.32846e-07        101000        101000        101267        119183        562342        646355        646705        640931        637715
  6.48116e-07        101000        101000        101287        120244        566691        646485        646608        640856        637642
  6.63386e-07        101000        101000        101309        121362        570912        646606        646509        640781        637570
  6.78656e-07        101000        101000        101332        122540        575007        646718        646410        640706        637498
  6.93925e-07        101000        101000        101358        123784        578977        646824        646309        640631        637425
  7.09195e-07        101000        101000        101385        125095        582826        646922        646208        640556        637353
  7.24465e-07        101000        101000        101414        126479        586554        647013        646107        640481        637280
  7.39735e-07        101000        101000        101446        127939        590165        647098        646004        640407        637208
  7.55005e-07        101000        101000        101481        129479        593660        647177        645902        640332        637136
  7.70274e-07        101000        101000        101519        131104        597042        647251        645799        640258        637064
  7.85544e-07        101000        101000        101559        132820        600314        647319        645695        640183        636991
  8.00814e-07        101000        101000        101603        134644        603477        647381        645592        640109        636919
  8.16084e-07        101000        101000        101649        136578        606534        647439        645490        640035        636847
  8.31353e-07        101000        101000        101698        138628        609486        647493        645390        639961        636775
  8.46623e-07        101000        101000        101750        140795        612334        647542        645290        639887        636703
  8.61893e-07        101000        101000        101806        143082        615081        647586        645192        639813        636631
  8.77163e-07        101000        101000        101865        145494        617730        647626        645094        639739        636558
  8.92432e-07        101000        101000        101928        148031        620283        647662        644998        639665        636486
  9.07702e-07        101000        101000        101996        150696        622741        647693        644902        639591        636414
  9.22972e-07        101000        101000        102068        153492        625112        647720        644808        639517        636342
  9.38242e-07        101000        101000        102144        156419        627401        647742        644714        639444        636270
  9.53512e-07        101000        101000        102226        159480        629609        647762        644621        639370        636198
  9.68781e-07        101000        101000        102313        162655        631740        647777        644529        639297        636127
  9.84051e-07        101000        101000        102407        165941        633790        647789        644438        639223        636055
  9.99321e-07        101000        101000        102506        169344        635762        647798        644347        639150        635983
  1.01459e-06        101000        101000        102613        172944        637659        647803        644257        639076        635911
  1.02986e-06        101000        101000        102726        176838        639482        647807        644168        639003        635839
  1.04513e-06        101000        101000        102848        181025        641235        647810        644079        638930        635767
   1.0604e-06        101000        101000        102978        185499        642917        647811        643991        638856        635696
  1.07567e-06        101000        101000        103117        190254        644514        647813        643903        638783        635624
  1.09094e-06        101000        101000        103265        195279        646029        647814        643816        638710        635552
  1.10621e-06        101000        101000        103424        200568        647467        647817        643730        638637        635480
  1.12148e-06        101000        101000        103594        206109        648832        647819        643644        638564        635409
  1.13675e-06        101000        101000        103775        211895        650128        647821        643558        638491        635337
  1.15202e-06        101000        101000        103969        217914        651357        647823        643473        638418        635265
  1.16729e-06        101000        101000        104176        224155        652524        647825        643389        638345        635194
  1.18256e-06        101000        101000        104397        230608        653645        647826        643305        638272        635122
  1.19783e-06        101000        101000        104633        237251        654723        647826        643221        638200        635051
   1.2131e-06        101000        101000        104886        244071        655762        647825        643138        638127        634979
  1.22837e-06        101000        101000        105156        251059        656758        647823        643055        638054        634908
  1.24364e-06        101000        101000        105446        258206        657714        647819        642972        637981        634836
  1.25891e-06        101000        101000        105756        265504        658633        647813        642890        637909        634765
  1.27418e-06        101000        101000        106089        272941        659515        647807        642808        637836        634693
