       Probe             0             1             2             3             4             5             6             7             8
    1.501e-05        101024   1.73365e+06   1.97682e+06   1.96749e+06   1.06617e+06        584794        584713        580745        578135
  1.50195e-05        101025   1.73334e+06   1.97633e+06   1.96713e+06   1.07216e+06        584753        584676        580708        578099
  1.50291e-05        101025   1.73304e+06   1.97584e+06   1.96677e+06   1.07817e+06        584712        584640        580672        578064
  1.50387e-05        101026   1.73274e+06   1.97535e+06    1.9664e+06   1.08418e+06        584671        584603        580635        578028
  1.50482e-05        101027   1.73244e+06   1.97486e+06   1.96603e+06   1.09021e+06        584629        584566        580598        577993
  1.50578e-05        101028   1.73214e+06   1.97437e+06   1.96566e+06   1.09624e+06        584588        584529        580562        577957
  1.50673e-05        101029   1.73185e+06   1.97388e+06   1.96529e+06   1.10229e+06        584547        584492        580525        577922
  1.50769e-05        101030   1.73156e+06   1.97339e+06   1.96491e+06   1.10835e+06        584506        584456        580488        577887
  1.50864e-05        101030   1.73126e+06   1.97291e+06   1.96453e+06   1.11443e+06        584464        584419        580452        577851
   1.5096e-05        101031   1.73097e+06   1.97242e+06   1.96415e+06   1.12052e+06        584423        584382        580415        577816
  1.51056e-05        101032   1.73068e+06   1.97193e+06   1.96377e+06   1.12663e+06        584381        584345        580378        577780
  1.51151e-05        101033   1.73039e+06   1.97144e+06   1.96338e+06   1.13274e+06        584339        584308        580342        577745
  1.51247e-05        101034    1.7301e+06   1.97096e+06   1.96299e+06   1.13887e+06        584297        584271        580305        577710
  1.51343e-05        101036   1.72981e+06   1.97047e+06    1.9626e+06   1.14499e+06        584255        584235        580269        577674
  1.51438e-05        101037   1.72952e+06   1.96999e+06   1.96221e+06   1.15113e+06        584213        584198        580232        577639
  1.51534e-05        101038   1.72923e+06    1.9695e+06   1.96182e+06   1.15727e+06        584171        584161        580195        577604
   1.5163e-05        101039   1.72893e+06   1.96902e+06   1.96142e+06   1.16342e+06        584129        584124        580159        577568
  1.51725e-05        101040   1.72864e+06   1.96853e+06   1.96102e+06   1.16957e+06        584086        584087        580122        577533
  1.51821e-05        101041   1.72834e+06   1.96805e+06   1.96062e+06   1.17573e+06        584043        584050        580085        577498
  1.51917e-05        101043   1.72804e+06   1.96756e+06   1.96022e+06   1.18188e+06        584001        584013        580049        577462
  1.52013e-05        101044   1.72773e+06   1.96708e+06   1.95982e+06   1.18804e+06        583958        583976        580012        577427
  1.52109e-05        101045   1.72743e+06    1.9666e+06   1.95941e+06   1.19419e+06        583916        583939        579976        577392
  1.52205e-05        101047   1.72712e+06   1.96611e+06   1.95901e+06   1.20034e+06        583873        583902        579939        577356
  1.52301e-05        101048    1.7268e+06   1.96563e+06    1.9586e+06   1.20649e+06        583831        583866        579903        577321
  1.52397e-05        101050   1.72648e+06   1.96515e+06   1.95819e+06   1.21263e+06        583789        583829        579866        577286
  1.52493e-05        101051   1.72616e+06   1.96467e+06   1.95778e+06   1.21877e+06        583746        583792        579830        577251
  1.52589e-05        101053   1.72583e+06   1.96419e+06   1.95737e+06   1.22494e+06        583704        583755        579793        577215
  1.52685e-05        101054    1.7255e+06   1.96371e+06   1.95696e+06   1.23111e+06        583662        583718        579756        577180
  1.52781e-05        101056   1.72517e+06   1.96322e+06   1.95655e+06    1.2373e+06        583620        583680        579720        577145
  1.52877e-05        101058   1.72482e+06   1.96274e+06   1.95614e+06   1.24348e+06        583577        583643        579683        577110
  1.52974e-05        101059   1.72448e+06   1.96226e+06   1.95573e+06   1.24967e+06        583535        583606        579647        577074
   1.5307e-05        101061   1.72412e+06   1.96179e+06   1.95531e+06   1.25584e+06        583493        583569        579610        577039
  1.53166e-05        101063   1.72376e+06   1.96131e+06    1.9549e+06   1.26202e+06        583451        583532        579574        577004
  1.53262e-05        101065    1.7234e+06   1.96083e+06   1.95449e+06   1.26818e+06        583409        583495        579537        576969
  1.53358e-05        101067   1.72303e+06   1.96035e+06   1.95407e+06   1.27435e+06        583367        583458        579501        576934
  1.53455e-05        101069   1.72265e+06   1.95987e+06   1.95366e+06   1.28051e+06        583325        583421        579464        576898
  1.53551e-05        101071   1.72226e+06   1.95939e+06   1.95324e+06   1.28666e+06        583283        583384        579428        576863
  1.53648e-05        101073   1.72187e+06   1.95892e+06   1.95283e+06    1.2928e+06        583241        583347        579391        576828
  1.53744e-05        101075   1.72148e+06   1.95844e+06   1.95241e+06   1.29892e+06        583200        583309        579355        576793
   1.5384e-05        101078   1.72107e+06   1.95797e+06     1.952e+06   1.30503e+06        583158        583272        579318        576758
  1.53937e-05        101080   1.72066e+06   1.95749e+06   1.95158e+06   1.31114e+06        583116        583235        579282        576723
  1.54033e-05        101082   1.72024e+06   1.95701e+06   1.95116e+06   1.31722e+06        583074        583198        579246        576688
   1.5413e-05        101085   1.71982e+06   1.95654e+06   1.95075e+06   1.32329e+06        583032        583160        579209        576652
  1.54227e-05        101087   1.71938e+06   1.95606e+06   1.95033e+06   1.32934e+06        582991        583123        579173        576617
  1.54323e-05        101090   1.71894e+06   1.95559e+06   1.94992e+06   1.33538e+06        582949        583086        579136        576582
   1.5442e-05        101093    1.7185e+06   1.95512e+06    1.9495e+06   1.34138e+06        582907        583049        579100        576547
  1.54516e-05        101096   1.71804e+06   1.95464e+06   1.94909e+06   1.34739e+06        582866        583011        579063        576512
  1.54613e-05        101098   1.71758e+06   1.95417e+06   1.94867e+06   1.35335e+06        582824        582974        579027        576477
   1.5471e-05        101101   1.71711e+06    1.9537e+06   1.94826e+06   1.35929e+06        582782        582937        578991        576442
  1.54806e-05        101104   1.71663e+06   1.95323e+06   1.94784e+06   1.36521e+06        582741        582900        578954        576407
  1.54903e-05        101107   1.71615e+06   1.95276e+06   1.94743e+06    1.3711e+06        582699        582862        578918        576372
  1.54999e-05        101111   1.71566e+06   1.95229e+06   1.94702e+06   1.37697e+06        582658        582825        578882        576337
  1.55096e-05        101114   1.71516e+06   1.95183e+06    1.9466e+06   1.38281e+06        582616        582788        578846        576302
  1.55192e-05        101117   1.71466e+06   1.95136e+06   1.94619e+06   1.38862e+06        582575        582750        578809        576267
  1.55289e-05        101121   1.71415e+06    1.9509e+06   1.94578e+06    1.3944e+06        582533        582713        578773        576232
  1.55386e-05        101124   1.71363e+06   1.95043e+06   1.94537e+06   1.40015e+06        582492        582676        578737        576198
  1.55482e-05        101128   1.71311e+06   1.94997e+06   1.94496e+06   1.40585e+06        582451        582639        578701        576163
  1.55579e-05        101131   1.71257e+06    1.9495e+06   1.94455e+06   1.41151e+06        582409        582601        578665        576128
  1.55675e-05        101135   1.71204e+06   1.94904e+06   1.94414e+06   1.41708e+06        582368        582564        578629        576093
  1.55772e-05        101139   1.71149e+06   1.94858e+06   1.94373e+06   1.42259e+06        582327        582527        578593        576058
  1.55868e-05        101143   1.71094e+06   1.94812e+06   1.94332e+06   1.42802e+06        582286        582490        578556        576023
  1.55965e-05        101147   1.71039e+06   1.94766e+06   1.94291e+06   1.43339e+06        582244        582452        578520        575989
  1.56062e-05        101152   1.70983e+06    1.9472e+06    1.9425e+06   1.43869e+06        582203        582415        578484        575954
  1.56158e-05        101156   1.70926e+06   1.94674e+06   1.94209e+06   1.44392e+06        582162        582378        578448        575919
  1.56255e-05        101161   1.70869e+06   1.94628e+06   1.94168e+06   1.44908e+06        582121        582340        578412        575884
  1.56351e-05        101165   1.70811e+06   1.94582e+06   1.94127e+06   1.45418e+06        582080        582303        578376        575849
  1.56448e-05        101170   1.70753e+06   1.94536e+06   1.94087e+06   1.45922e+06        582039        582266        578340        575814
  1.56545e-05        101175   1.70694e+06   1.94491e+06   1.94046e+06    1.4642e+06        581998        582228        578304        575779
  1.56642e-05        101180   1.70635e+06   1.94445e+06   1.94005e+06   1.46912e+06        581957        582191        578268        575744
  1.56738e-05        101185   1.70575e+06   1.94399e+06   1.93964e+06   1.47398e+06        581915        582154        578232        575709
  1.56835e-05        101190   1.70515e+06   1.94354e+06   1.93923e+06   1.47878e+06        581874        582116        578197        575674
  1.56932e-05        101196   1.70455e+06   1.94309e+06   1.93883e+06   1.48352e+06        581834        582079        578161        575639
  1.57029e-05        101201   1.70394e+06   1.94263e+06   1.93842e+06   1.48821e+06        581793        582041        578125        575604
  1.57126e-05        101207   1.70332e+06   1.94218e+06   1.93801e+06   1.49285e+06        581752        582004        578089        575569
  1.57223e-05        101213   1.70271e+06   1.94172e+06    1.9376e+06   1.49743e+06        581711        581967        578053        575534
   1.5732e-05        101219   1.70209e+06   1.94127e+06   1.93719e+06   1.50195e+06        581670        581929        578017        575499
  1.57417e-05        101225   1.70147e+06   1.94082e+06   1.93678e+06   1.50642e+06        581629        581892        577981        575464
  1.57514e-05        101232   1.70084e+06   1.94037e+06   1.93638e+06   1.51084e+06        581588        581854        577945        575429
  1.57611e-05        101238   1.70022e+06   1.93992e+06   1.93597e+06   1.51524e+06        581547        581817        577909        575394
  1.57708e-05        101245   1.69959e+06   1.93947e+06   1.93556e+06   1.51962e+06        581507        581779        577874        575359
  1.57805e-05        101252   1.69896e+06   1.93902e+06   1.93515e+06     1.524e+06        581466        581742        577838        575324
  1.57902e-05        101259   1.69832e+06   1.93857e+06   1.93474e+06   1.52837e+06        581425        581704        577802        575288
  1.57999e-05        101267   1.69769e+06   1.93812e+06   1.93434e+06   1.53273e+06        581385        581667        577766        575253
  1.58097e-05        101274   1.69705e+06   1.93768e+06   1.93393e+06   1.53708e+06        581344        581629        577730        575218
  1.58194e-05        101282   1.69641e+06   1.93723e+06   1.93352e+06   1.54141e+06        581303        581592        577694        575183
  1.58291e-05        101290   1.69577e+06   1.93678e+06   1.93311e+06   1.54572e+06        581263        581554        577659        575148
  1.58388e-05        101298   1.69513e+06   1.93634e+06    1.9327e+06   1.55002e+06        581222        581517        577623        575112
  1.58485e-05        101306   1.69449e+06   1.93589e+06   1.93229e+06    1.5543e+06        581182        581479        577587        575077
  1.58583e-05        101315   1.69385e+06   1.93545e+06   1.93188e+06   1.55856e+06        581142        581442        577551        575042
   1.5868e-05        101323   1.69321e+06   1.93501e+06   1.93147e+06   1.56281e+06        581101        581404        577516        575007
  1.58777e-05        101332   1.69257e+06   1.93457e+06   1.93107e+06   1.56706e+06        581061        581367        577480        574971
  1.58874e-05        101342   1.69193e+06   1.93413e+06   1.93066e+06   1.57131e+06        581021        581329        577444        574936
  1.58972e-05        101351   1.69129e+06   1.93369e+06   1.93025e+06   1.57555e+06        580981        581292        577409        574901
  1.59069e-05        101361   1.69065e+06   1.93325e+06   1.92984e+06   1.57978e+06        580941        581254        577373        574866
  1.59166e-05        101371   1.69001e+06   1.93281e+06   1.92943e+06   1.58397e+06        580901        581217        577337        574831
  1.59263e-05        101381   1.68937e+06   1.93237e+06   1.92902e+06   1.58813e+06        580861        581180        577302        574795
   1.5936e-05        101392   1.68873e+06   1.93193e+06   1.92861e+06   1.59226e+06        580821        581142        577266        574760
  1.59458e-05        101402    1.6881e+06    1.9315e+06    1.9282e+06   1.59635e+06        580781        581105        577231        574725
  1.59555e-05        101413   1.68746e+06   1.93106e+06   1.92779e+06   1.60041e+06        580742        581067        577195        574690
  1.59652e-05        101425   1.68682e+06   1.93063e+06   1.92738e+06   1.60444e+06        580702        581030        577159        574655
  1.59749e-05        101436   1.68619e+06   1.93019e+06   1.92697e+06   1.60844e+06        580663        580992        577124        574620
  1.59847e-05        101448   1.68555e+06   1.92976e+06   1.92656e+06   1.61241e+06        580623        580955        577088        574585
  1.59944e-05        101460   1.68491e+06   1.92932e+06   1.92615e+06   1.61635e+06        580584        580917        577053        574550
  1.60042e-05        101473   1.68428e+06   1.92889e+06   1.92574e+06   1.62026e+06        580544        580880        577017        574515
  1.60139e-05        101486   1.68364e+06   1.92846e+06   1.92532e+06   1.62414e+06        580505        580842        576982        574481
  1.60237e-05        101499   1.68301e+06   1.92803e+06   1.92491e+06   1.62799e+06        580466        580805        576946        574446
  1.60334e-05        101513   1.68238e+06    1.9276e+06    1.9245e+06    1.6318e+06        580427        580768        576910        574411
  1.60432e-05        101527   1.68174e+06   1.92717e+06   1.92409e+06   1.63558e+06        580388        580730        576875        574377
  1.60529e-05        101541   1.68111e+06   1.92674e+06   1.92368e+06   1.63934e+06        580349        580693        576840        574342
  1.60627e-05        101555   1.68048e+06   1.92631e+06   1.92326e+06   1.64306e+06        580310        580655        576804        574308
  1.60724e-05        101570   1.67985e+06   1.92589e+06   1.92285e+06   1.64675e+06        580272        580618        576769        574274
  1.60821e-05        101586   1.67922e+06   1.92546e+06   1.92244e+06    1.6504e+06        580233        580580        576733        574240
  1.60919e-05        101601   1.67859e+06   1.92504e+06   1.92203e+06   1.65403e+06        580195        580543        576698        574205
  1.61016e-05        101617   1.67796e+06   1.92461e+06   1.92161e+06   1.65763e+06        580157        580506        576663        574171
  1.61114e-05        101634   1.67733e+06   1.92419e+06    1.9212e+06    1.6612e+06        580119        580468        576627        574137
  1.61211e-05        101651    1.6767e+06   1.92377e+06   1.92079e+06   1.66473e+06        580081        580431        576592        574103
  1.61309e-05        101668   1.67607e+06   1.92335e+06   1.92038e+06   1.66824e+06        580043        580393        576557        574069
  1.61406e-05        101686   1.67544e+06   1.92292e+06   1.91996e+06   1.67172e+06        580006        580356        576521        574035
  1.61504e-05        101704   1.67481e+06    1.9225e+06   1.91955e+06   1.67516e+06        579968        580319        576486        574001
  1.61601e-05        101723   1.67418e+06   1.92209e+06   1.91914e+06   1.67857e+06        579931        580281        576451        573968
  1.61698e-05        101742   1.67355e+06   1.92167e+06   1.91872e+06   1.68193e+06        579895        580244        576416        573934
  1.61795e-05        101762   1.67291e+06   1.92125e+06   1.91831e+06   1.68527e+06        579859        580207        576381        573900
  1.61893e-05        101782   1.67228e+06   1.92084e+06    1.9179e+06   1.68857e+06        579824        580170        576346        573866
   1.6199e-05        101802   1.67164e+06   1.92042e+06   1.91749e+06   1.69183e+06        579791        580133        576311        573833
