       Probe             0             1             2             3             4             5             6             7             8
  3.00012e-05        101000        101000        101000        101000        101000        101000        101000        101000        101053
  3.00026e-05        101000        101000        101000        101000        101000        101000        101000        101000        101053
  3.00044e-05        101000        101000        101000        101000        101000        101000        101000        101000        101053
  3.00064e-05        101000        101000        101000        101000        101000        101000        101000        101000        101053
  3.00089e-05        101000        101000        101000        101000        101000        101000        101000        101000        101054
  3.00118e-05        101000        101000        101000        101000        101000        101000        101000        101000        101054
   3.0015e-05        101000        101000        101000        101000        101000        101000        101000        101000        101054
  3.00187e-05        101000        101000        101000        101000        101000        101000        101000        101000        101054
  3.00226e-05        101000        101000        101000        101000        101000        101000        101000        101000        101055
  3.00266e-05        101000        101000        101000        101000        101000        101000        101000        101000        101055
  3.00305e-05        101000        101000        101000        101000        101000        101000        101000        101000        101055
  3.00344e-05        101000        101000        101000        101000        101000        101000        101000        101000        101056
  3.00384e-05        101000        101000        101000        101000        101000        101000        101000        101000        101056
  3.00423e-05        101000        101000        101000        101000        101000        101000        101000        101000        101056
  3.00462e-05        101000        101000        101000        101000        101000        101000        101000        101000        101057
  3.00502e-05        101000        101000        101000        101000        101000        101000        101000        101000        101057
  3.00541e-05        101000        101000        101000        101000        101000        101000        101000        101000        101057
  3.00581e-05        101000        101000        101000        101000        101000        101000        101000        101000        101058
   3.0062e-05        101000        101000        101000        101000        101000        101000        101000        101000        101058
  3.00659e-05        101000        101000        101000        101000        101000        101000        101000        101000        101059
  3.00699e-05        101000        101000        101000        101000        101000        101000        101000        101000        101059
  3.00738e-05        101000        101000        101000        101000        101000        101000        101000        101000        101059
  3.00778e-05        101000        101000        101000        101000        101000        101000        101000        101000        101060
  3.00817e-05        101000        101000        101000        101000        101000        101000        101000        101000        101060
  3.00856e-05        101000        101000        101000        101000        101000        101000        101000        101000        101061
  3.00896e-05        101000        101000        101000        101000        101000        101000        101000        101000        101061
  3.00935e-05        101000        101000        101000        101000        101000        101000        101000        101000        101061
  3.00975e-05        101000        101000        101000        101000        101000        101000        101000        101000        101062
  3.01014e-05        101000        101000        101000        101000        101000        101000        101000        101000        101062
  3.01053e-05        101000        101000        101000        101000        101000        101000        101000        101000        101063
  3.01093e-05        101000        101000        101000        101000        101000        101000        101000        101000        101063
  3.01132e-05        101000        101000        101000        101000        101000        101000        101000        101000        101064
  3.01171e-05        101000        101000        101000        101000        101000        101000        101000        101000        101064
  3.01211e-05        101000        101000        101000        101000        101000        101000        101000        101000        101065
