       Probe             0             1             2             3             4             5             6             7             8
   4.2003e-05        101000        101000        607133        604404        601646        599304        596763        597016        599148
   4.2005e-05        101000        101000        607126        604397        601639        599298        596758        597010        599142
  4.20071e-05        101000        101000        607120        604389        601633        599292        596751        597004        599137
  4.20092e-05        101000        101000        607114        604382        601626        599286        596745        596998        599131
  4.20113e-05        101000        101000        607107        604374        601620        599280        596739        596992        599125
  4.20134e-05        101000        101000        607101        604366        601613        599273        596733        596985        599119
  4.20155e-05        101000        101000        607094        604359        601607        599267        596727        596979        599113
  4.20177e-05        101000        101000        607087        604351        601600        599261        596721        596973        599107
  4.20198e-05        101000        101000        607081        604343        601593        599254        596714        596966        599101
   4.2022e-05        101000        101000        607074        604335        601586        599248        596708        596960        599095
  4.20243e-05        101000        101000        607067        604327        601579        599241        596701        596953        599089
  4.20265e-05        101000        101000        607060        604319        601572        599235        596695        596946        599083
  4.20288e-05        101000        101000        607053        604310        601565        599228        596688        596939        599077
  4.20311e-05        101000        101000        607046        604302        601558        599221        596682        596933        599071
  4.20334e-05        101000        101000        607038        604294        601551        599214        596675        596926        599064
  4.20357e-05        101000        101000        607031        604285        601544        599207        596668        596919        599058
   4.2038e-05        101000        101000        607024        604277        601536        599200        596661        596912        599051
  4.20404e-05        101000        101000        607016        604268        601529        599193        596654        596905        599045
  4.20427e-05        101000        101000        607009        604260        601522        599186        596647        596898        599038
  4.20451e-05        101000        101000        607001        604251        601514        599180        596641        596891        599032
  4.20474e-05        101000        101000        606994        604243        601507        599173        596634        596884        599025
  4.20498e-05        101000        101000        606986        604234        601500        599166        596627        596877        599019
  4.20521e-05        101000        101000        606979        604226        601493        599159        596620        596870        599012
  4.20545e-05        101000        101000        606971        604218        601485        599152        596613        596863        599006
  4.20568e-05        101000        101000        606964        604209        601478        599145        596606        596856        598999
  4.20592e-05        101000        101000        606956        604201        601471        599138        596599        596848        598993
  4.20615e-05        101000        101000        606948        604192        601464        599131        596592        596841        598986
  4.20639e-05        101000        101000        606940        604184        601456        599124        596585        596834        598980
  4.20663e-05        101000        101000        606932        604175        601449        599117        596578        596827        598973
  4.20686e-05        101000        101000        606925        604167        601442        599110        596572        596820        598966
   4.2071e-05        101000        101000        606917        604158        601434        599103        596565        596813        598960
  4.20733e-05        101000        101000        606909        604150        601427        599096        596558        596806        598953
  4.20757e-05        101000        101000        606901        604141        601420        599089        596551        596799        598947
   4.2078e-05        101000        101000        606893        604133        601413        599082        596544        596792        598940
  4.20804e-05        101000        101000        606884        604124        601405        599075        596537        596785        598934
  4.20828e-05        101000        101000        606876        604116        601398        599067        596530        596778        598927
  4.20851e-05        101000        101000        606868        604107        601391        599060        596523        596771        598921
  4.20875e-05        101000        101000        606860        604099        601383        599053        596516        596764        598914
  4.20899e-05        101000        101000        606851        604090        601376        599046        596509        596757        598907
  4.20923e-05        101000        101000        606843        604082        601369        599039        596502        596749        598901
  4.20947e-05        101000        101000        606834        604073        601361        599032        596495        596742        598894
