       Probe             0             1             2             3             4             5             6             7             8
   1.1999e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.63965e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.36705e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.43992e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
    8.928e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.19131e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.54939e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.97909e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.49464e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.11343e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.85616e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
   4.7469e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.78954e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.98617e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
   8.3369e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  9.84045e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.13674e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.28944e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.44214e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.59484e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.74802e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   1.9012e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.05438e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.20756e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.36074e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.51392e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   2.6671e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.82028e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.97346e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.12665e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.27983e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.43301e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.58619e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.73937e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.89255e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.04573e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.19891e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.35209e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.50527e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.65845e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.81163e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.96482e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
    5.118e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.27118e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.42436e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.57754e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.73072e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   5.8839e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.03708e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.19026e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.34344e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.49662e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.64981e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.80299e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.95617e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.10935e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.26253e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.41571e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.56889e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.72207e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.87525e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.02843e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.18161e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   8.3348e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.48798e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.64116e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.79434e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.94752e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   9.1007e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  9.25388e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  9.40706e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  9.56024e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  9.71342e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   9.8666e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.00198e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
   1.0173e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.03261e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.04793e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.06325e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.07857e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.09389e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.10921e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.12452e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.13984e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.15516e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.17048e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
   1.1858e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.20111e-06        101000        101000        101000        101000        101000        101000        101000        101000        101000
