       Probe             0             1             2             3             4             5             6             7             8
  1.20005e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.64017e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.36833e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.44211e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.93055e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.19165e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.55003e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.98003e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.49607e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.11525e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.85809e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.74909e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
   5.8181e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.09762e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.58623e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.02868e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.22048e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.43429e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.66192e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.89551e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.13479e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.37465e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.60544e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.82934e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.04819e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.26316e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.47392e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.68106e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.88643e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.09092e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.29499e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.49861e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.70224e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.90631e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.11037e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.31312e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.51459e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.71392e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.91159e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   6.1076e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
