   Probe             0             1             2             3             4             5             6             7             8
  1.20005e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.64017e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.36833e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.44211e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.93055e-09        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.19165e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.55003e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.98003e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.49607e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.11525e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.85809e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.74909e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
   5.8181e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  7.09269e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  8.57465e-08        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.02665e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.21735e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.43024e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  1.65948e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   1.8953e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.13576e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.36603e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.58843e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  2.80586e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.01854e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.22621e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.43037e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.63325e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  3.83528e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.03688e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.23849e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.44051e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.64297e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  4.84415e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.04322e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.24022e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
   5.4352e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.62819e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  5.81961e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
  6.00988e-07        101000        101000        101000        101000        101000        101000        101000        101000        101000
